	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)
VARIABLES	Robust SE 1	Robust SE 2	Robust SE 3	HC3 SE 1	HC3 SE 2	HC3 SE 3	Bootstrap SE 1	Bootstrap SE 2	Bootstrap SE 3
									
train	1.156**	1.064**	0.889*	1.156**	1.064**	0.889*	1.156**	1.064**	0.889**
	(0.525)	(0.503)	(0.464)	(0.529)	(0.508)	(0.469)	(0.544)	(0.497)	(0.451)
age	0.0531	0.0504	0.0356	0.0531	0.0504	0.0356	0.0531	0.0504	0.0356
	(0.0353)	(0.0353)	(0.0330)	(0.0358)	(0.0359)	(0.0336)	(0.0345)	(0.0370)	(0.0328)
educ	0.241*	0.221*	0.161	0.241*	0.221*	0.161	0.241*	0.221*	0.161
	(0.129)	(0.128)	(0.125)	(0.132)	(0.131)	(0.128)	(0.133)	(0.129)	(0.128)
black	-2.768***	-2.942***	-3.309***	-2.768***	-2.942***	-3.309***	-2.768***	-2.942***	-3.309***
	(0.948)	(0.944)	(0.935)	(0.973)	(0.969)	(0.960)	(0.951)	(0.973)	(0.942)
hisp	-0.797	-0.646	-1.035	-0.797	-0.646	-1.035	-0.797	-0.646	-1.035
	(1.204)	(1.203)	(1.149)	(1.243)	(1.242)	(1.186)	(1.250)	(1.233)	(1.127)
re74	-0.00826	0.0147	0.0206	-0.00826	0.0147	0.0206	-0.00826	0.0147	0.0206
	(0.0747)	(0.0722)	(0.0694)	(0.0817)	(0.0788)	(0.0763)	(0.0798)	(0.0762)	(0.0722)
re75	0.104	0.0827	0.0634	0.104	0.0827	0.0634	0.104	0.0827	0.0634
	(0.116)	(0.112)	(0.104)	(0.126)	(0.121)	(0.113)	(0.125)	(0.117)	(0.105)
Constant	2.851	3.164	4.277**	2.851	3.164	4.277**	2.851	3.164	4.277**
	(2.013)	(1.992)	(1.943)	(2.052)	(2.031)	(1.983)	(2.004)	(2.057)	(1.958)
									
Observations	439	435	425	439	435	425	439	435	425
R-squared	0.055	0.061	0.069	0.055	0.061	0.069	0.055	0.061	0.069
Robust standard errors in parentheses									
*** p<0.01, ** p<0.05, * p<0.1									
